run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
18,0.45,60,0.0,-128.1,0.5121162746831248,True,905.304815596747,0.5168952713844743
10,0.45,52,0.0,-128.1,0.5188447054617819,True,976.6218469587859,0.505025949460338
5,0.45,47,0.0,-128.1,0.5165791280650451,True,860.8068065446538,0.5417666010312108
9,0.45,51,0.0,-128.1,0.518289184051047,True,919.9640492692022,0.5324569998454132
17,0.45,59,0.0,-128.1,0.5277165188516677,True,855.205864328814,0.5526650708602103
4,0.45,46,0.0,-128.1,0.508184749849319,True,871.4957171266083,0.545895811969468
15,0.45,57,0.0,-128.1,0.519507414983065,True,990.5432544383914,0.4894446590348776
19,0.45,61,0.0,-128.1,0.5177674686837654,True,863.8265344045036,0.5497957278150377
13,0.45,55,0.0,-128.1,0.5243769008931682,True,843.9054990569624,0.5606100333093197
16,0.45,58,0.0,-128.1,0.5139874647024886,True,868.8948365680011,0.5443795003084388
12,0.45,54,0.0,-128.1,0.5174862706277183,True,909.6838151571463,0.5194172545265617
7,0.45,49,0.0,-128.1,0.5314132341582017,True,827.410320757225,0.5615242763860757
6,0.45,48,168.77776384353638,449.9979999999996,0.04542586911679271,False,1415.7876255443878,0.5037791217213125
2,0.45,44,0.0,-128.1,0.5173429937269243,True,838.2251168733135,0.5588274489344757
0,0.45,42,0.0,-128.1,0.5158669877768538,True,899.7113298175259,0.5478928050020334
8,0.45,50,0.0,-128.1,0.5153191370466681,True,948.1074946666434,0.505227825557664
1,0.45,43,0.0,-128.1,0.5165728289268111,True,925.8397962615652,0.533180653858083
3,0.45,45,0.0,-128.1,0.5229070936751181,True,865.0799878099049,0.551198206786285
14,0.45,56,0.0,-128.1,0.5182402578694825,True,845.1686576048025,0.5518928074149719
11,0.45,53,0.0,-128.1,0.5149925463760175,True,1086.0535177604704,0.4929099670564607
20,0.5,42,0.0,-128.1,0.5158669877768538,True,1278.027864565963,0.4558853015001454
21,0.5,43,151.2218862771988,326.4070000000002,0.0748204139806213,False,1599.9804245380521,0.5621226192824741
23,0.5,45,0.0,-128.1,0.5229070936751181,True,1038.826379240369,0.5207162196315595
24,0.5,46,0.0,-128.1,0.508184749849319,True,891.0083306930362,0.5832789611854574
27,0.5,49,0.0,-128.1,0.5314132341582017,True,824.4178030713603,0.6009910812436453
28,0.5,50,0.0,-128.1,0.5153191370466681,True,893.3445329034427,0.5688945669024833
