w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.9,1.0,42,296.3884547352791,460.97000000000037,0.03710145484061332,3.939027337702001,1.5925925925925926,153.76344086021507,0,3767.631363291618,0.4827476834448484,400000
0.9,1.0,43,44.50434446334839,279.8945999999999,0.13588988035490096,3.7156604270449316,2.061111111111111,160.28763440860214,0,3269.249204184051,0.4563380385247561,400000
0.9,1.0,44,0.0,461.2756000000004,0.0668307826803837,4.15220957830745,1.5896296296296297,155.36559139784944,0,2619.3146595082726,0.4880476445914843,400000
0.9,1.0,45,194.51804459095,462.2684000000004,0.04147110747986096,3.7694045816119415,1.5607407407407408,153.99354838709678,0,3808.4817398120194,0.48583600345330363,400000
0.9,1.0,46,0.0,-47.36830000000005,0.4341828021994097,2.2817392959094347,1.402962962962963,185.68602150537637,0,2856.8974547361718,0.5565444905406389,400000
0.9,1.0,47,191.52555614709854,462.82400000000035,0.03585400495866623,3.6430720726619965,1.6407407407407408,154.3715053763441,0,3377.251371496151,0.4855769799114802,400000
0.9,1.0,48,161.9872748851776,408.5339999999993,0.04542586911679271,2.0915667421144852,1.1777777777777778,159.76774193548385,0,3456.5069199537616,0.43520445653643364,400000
0.9,1.0,49,256.37044198811054,460.97000000000037,0.05579236710804858,3.822023309252516,1.5925925925925926,153.43548387096774,0,3383.656808556451,0.47992692295557415,400000
0.9,1.0,50,74.95038211345673,262.7872999999999,0.20431614483932306,1.7811853533012472,1.0992592592592592,169.46720430107524,0,3317.574020428128,0.4791595965432815,400000
0.9,1.0,51,154.75387126207352,357.81499999999966,0.05087283770556954,1.6721588298139025,1.0555555555555556,162.69408602150537,0,3494.556854603433,0.49791302350469124,400000
0.9,1.0,52,207.41267502307892,460.97000000000037,0.037235582552371874,3.9065777254403273,1.5925925925925926,153.97741935483867,0,3383.1035459828176,0.4999690550642136,400000
0.9,1.0,53,0.0,354.84819999999974,0.09296019667659701,3.8544443058979616,1.865925925925926,160.70752688172044,0,3142.5334880731048,0.4481493517374381,400000
0.9,1.0,54,161.69175505638123,417.5086999999997,0.044185780254916034,3.3494800427583202,2.113703703703704,148.3790322580645,0,3866.991011520125,0.4345231287372418,400000
0.9,1.0,55,87.19620108604431,-7.761699999999894,0.4171213547914593,0.08072524635034325,0.4477777777777778,184.26612903225802,0,3223.000134057265,0.4335114064698036,400000
0.9,1.0,56,78.98946106433868,418.834,0.08972088942860677,3.767762761782439,1.4614814814814814,157.5440860215054,0,2987.588864854665,0.4686115287626401,400000
0.9,1.0,57,87.0080441236496,209.0202000000001,0.24282333754777502,2.0197358685393407,1.63,159.80698924731183,0,3647.262167576847,0.449135271498026,400000
0.9,1.0,58,128.73630970716476,155.6562000000001,0.2542221441124395,2.437376030199288,1.7577777777777779,163.83118279569894,0,3427.939095341446,0.5278995025616425,400000
0.9,1.0,59,278.832932934165,460.97000000000037,0.053830898053235224,3.8118928552777205,1.5925925925925926,153.7521505376344,0,3294.80746867514,0.4967233125980084,400000
0.9,1.0,60,179.25482988357544,467.6229999999999,0.03205894010928417,3.463978713131413,1.3962962962962964,156.7521505376344,0,3235.1339112599694,0.4994051113533668,400000
0.9,1.0,61,198.62501323223114,461.21400000000057,0.039271175312974645,3.6357832326649473,1.5851851851851853,154.0,0,3572.7834780799017,0.46201175890671903,400000
