run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
13,0.0,55,0.0,-128.1,0.5243769008931682,True,1782.205108564328,0.07070563682633588
14,0.0,56,0.0,-128.1,0.5182402578694825,True,1704.5915242121769,0.06938054953884874
0,0.0,42,0.0,-128.1,0.5158669877768538,True,1777.4697450904087,0.0691840829502823
3,0.0,45,0.0,-128.1,0.5229070936751181,True,1762.759547159135,0.07298236639581175
1,0.0,43,0.0,-128.1,0.5165728289268111,True,1810.8149854045987,0.06265906531077164
5,0.0,47,0.0,-128.1,0.5165791280650451,True,1739.622966338155,0.0712788752001575
4,0.0,46,0.0,-128.1,0.508184749849319,True,1732.2087280229962,0.06920704602176307
2,0.0,44,0.0,-128.1,0.5173429937269243,True,1763.8383227095644,0.07170970470477374
12,0.0,54,0.0,-128.1,0.5174862706277183,True,1772.4335970191196,0.06513151921268202
7,0.0,49,0.0,-128.1,0.5314132341582017,True,1755.2766396242669,0.07149141020754464
6,0.0,48,0.0,-128.1,0.5208458755746784,True,1755.0915341151747,0.06737542610902053
8,0.0,50,0.0,-128.1,0.5153191370466681,True,1787.2733831248052,0.0657178895850467
11,0.0,53,0.0,-128.1,0.5149925463760175,True,1775.687050057001,0.06789762291133913
9,0.0,51,0.0,-128.1,0.518289184051047,True,1784.8850336449777,0.07065996998905116
10,0.0,52,0.0,-128.1,0.5188447054617819,True,1777.008473175136,0.06547586377869305
17,0.0,59,0.0,-128.1,0.5277165188516677,True,1760.898929189481,0.0667542389824859
15,0.0,57,0.0,-128.1,0.519507414983065,True,1759.530727258231,0.06160699047593989
19,0.0,61,0.0,-128.1,0.5177674686837654,True,1782.6884409760478,0.06716848515037797
24,0.2,46,0.0,-128.1,0.508184749849319,True,1288.797908198256,0.22532361070824486
16,0.0,58,0.0,-128.1,0.5139874647024886,True,1742.053698956525,0.06663183638682732
22,0.2,44,0.0,-128.1,0.5173429937269243,True,1307.4859208327073,0.22706784549941364
27,0.2,49,0.0,-128.1,0.5314132341582017,True,1290.825769195122,0.23508288552108994
26,0.2,48,0.0,-128.1,0.5208458755746784,True,1305.4690623052438,0.21890768204998767
23,0.2,45,0.0,-128.1,0.5229070936751181,True,1308.7490710266636,0.23316856250803694
25,0.2,47,0.0,-128.1,0.5165791280650451,True,1314.362838892923,0.2238485414502967
28,0.2,50,0.0,-128.1,0.5153191370466681,True,1368.906767490311,0.19574578794149253
18,0.0,60,0.0,-128.1,0.5121162746831248,True,1846.2229842487563,0.013028115161463745
21,0.2,43,0.0,-128.1,0.5165728289268111,True,1376.0643889772246,0.22102963287606198
20,0.2,42,0.0,-128.1,0.5158669877768538,True,1323.7104362205223,0.23387086735321924
29,0.2,51,0.0,-128.1,0.518289184051047,True,1340.5384072502115,0.22419776735652205
32,0.2,54,0.0,-128.1,0.5174862706277183,True,1340.8658765830885,0.21962592413282803
30,0.2,52,0.0,-128.1,0.5188447054617819,True,1336.7916463694341,0.20528124107254875
33,0.2,55,0.0,-128.1,0.5243769008931682,True,1316.0849417009924,0.22016002174116608
31,0.2,53,0.0,-128.1,0.5149925463760175,True,1315.3230457360248,0.21726804767918384
35,0.2,57,0.0,-128.1,0.519507414983065,True,1308.9117358520161,0.21802424989704394
36,0.2,58,0.0,-128.1,0.5139874647024886,True,1317.5858146906576,0.21676087774272657
37,0.2,59,0.0,-128.1,0.5277165188516677,True,1308.6874586273802,0.22096545930601594
34,0.2,56,0.0,-128.1,0.5182402578694825,True,1305.5864148349162,0.2174272883651603
40,0.4,42,0.0,-128.1,0.5158669877768538,True,1107.4234983721349,0.41508929705263203
38,0.2,60,0.0,-128.1,0.5121162746831248,True,1593.1818019247462,0.04406278408490694
39,0.2,61,0.0,-128.1,0.5177674686837654,True,1318.2397001869658,0.21004810203344393
44,0.4,46,0.0,-128.1,0.508184749849319,True,1164.045815218412,0.3947578203729075
41,0.4,43,0.0,-128.1,0.5165728289268111,True,1317.7086116193025,0.38573887078171104
42,0.4,44,0.0,-128.1,0.5173429937269243,True,1100.5323948091252,0.4200123481006704
43,0.4,45,0.0,-128.1,0.5229070936751181,True,1140.679289845524,0.4084937322852958
45,0.4,47,0.0,-128.1,0.5165791280650451,True,1212.7480293795593,0.3419482378113983
46,0.4,48,0.0,-128.1,0.5208458755746784,True,1259.4065140965997,0.3466250117645304
52,0.4,54,0.0,-128.1,0.5174862706277183,True,1181.7979571763606,0.3832778521837332
54,0.4,56,0.0,-128.1,0.5182402578694825,True,1237.3433189239938,0.3455115252962479
53,0.4,55,0.0,-128.1,0.5243769008931682,True,1142.929750845711,0.4041797546749441
47,0.4,49,0.0,-128.1,0.5314132341582017,True,1096.504009538091,0.4154916549594993
51,0.4,53,0.0,-128.1,0.5149925463760175,True,1182.014436703326,0.38299203619488287
