run_idx,w,lambda_loss,seed,algo,env,mean_reward,collapsed,final_value_loss,final_explained_variance
65,0.45,1,47,PPO,MPE_CoopNav,-84.09822033263939,True,23.713873628861773,0.5453688878131966
70,0.45,1,52,PPO,MPE_CoopNav,-86.00535657323888,True,26.390298441613375,0.4202688447034008
62,0.45,1,44,PPO,MPE_CoopNav,-96.74792583758722,True,26.134381771370027,0.4824765923500977
68,0.45,1,50,PPO,MPE_CoopNav,-67.06083501106949,True,22.30286689547967,0.3431568462473177
74,0.45,1,56,PPO,MPE_CoopNav,-77.26610798076335,True,25.252894255202193,0.38560597616678316
61,0.45,1,43,PPO,MPE_CoopNav,-61.66760355815332,True,29.45154584495115,0.21683284352210358
63,0.45,1,45,PPO,MPE_CoopNav,-75.77071813638806,True,26.248186902230593,0.32036891758976155
69,0.45,1,51,PPO,MPE_CoopNav,-85.67019728359766,True,20.026929061109065,0.5192259825317717
80,0.5,1,42,PPO,MPE_CoopNav,-64.18319815698422,True,30.363238198809068,0.2747077591593226
67,0.45,1,49,PPO,MPE_CoopNav,-75.08640665524356,True,25.221725529302557,0.4174038823908636
55,0.4,1,57,PPO,MPE_CoopNav,-98.25988656981194,True,13.258252106135693,0.7194804658161693
73,0.45,1,55,PPO,MPE_CoopNav,-60.531788940371236,True,26.97812736412932,0.16488035208284474
78,0.45,1,60,PPO,MPE_CoopNav,-106.41882392695308,True,30.124220061073235,0.44503729035851286
51,0.4,1,53,PPO,MPE_CoopNav,-59.23154119713183,True,28.16896302422244,0.20272932826480547
75,0.45,1,57,PPO,MPE_CoopNav,-59.92021919640588,True,25.622383339853812,0.2996488942761122
81,0.5,1,43,PPO,MPE_CoopNav,-89.1279742802772,True,25.920638917060273,0.4990583227782793
77,0.45,1,59,PPO,MPE_CoopNav,-74.24322342167157,True,20.434484475034452,0.4590984405651593
72,0.45,1,54,PPO,MPE_CoopNav,-73.94511219031692,True,25.450989269828675,0.3693623309633033
71,0.45,1,53,PPO,MPE_CoopNav,-62.84870805466615,True,30.49816480824645,0.24367417618346124
53,0.4,1,55,PPO,MPE_CoopNav,-77.16027212571231,True,21.06987315360624,0.5603122248167647
54,0.4,1,56,PPO,MPE_CoopNav,-61.21565466390825,True,19.414306669488607,0.49310951793468566
56,0.4,1,58,PPO,MPE_CoopNav,-75.41239397315258,True,16.39034734853709,0.6234768838234122
76,0.45,1,58,PPO,MPE_CoopNav,-69.20155692752512,True,24.258231958399662,0.3350794761418991
66,0.45,1,48,PPO,MPE_CoopNav,-68.19782282246743,True,22.850859679646135,0.3652388047946858
