Lambda,Seed,Mean S,Profit,Lost Sales
2.0,42,0.0,-128.10000000000002,0.5147745366701145
1.0,45,0.0,-128.10000000000002,0.5147745366701145
1.0,42,0.0,-128.10000000000002,0.5147745366701145
1.0,46,0.0,-128.10000000000002,0.5147745366701145
2.0,45,0.0,-128.10000000000002,0.5147745366701145
2.0,44,0.0,-128.10000000000002,0.5147745366701145
2.0,43,0.0,-128.10000000000002,0.5147745366701145
2.0,46,0.0,-128.10000000000002,0.5147745366701145
1.0,44,0.0,-128.10000000000002,0.5147745366701145
1.0,43,0.0,-128.10000000000002,0.5147745366701145
3.0,42,0.0,-128.10000000000002,0.5147745366701145
3.0,44,0.0,-128.10000000000002,0.5147745366701145
3.0,46,0.0,-128.10000000000002,0.5147745366701145
3.0,43,0.0,-128.10000000000002,0.5147745366701145
5.0,42,0.0,-128.10000000000002,0.5147745366701145
3.0,45,0.0,-128.10000000000002,0.5147745366701145
5.0,43,0.0,-128.10000000000002,0.5147745366701145
5.0,44,0.0,-128.10000000000002,0.5147745366701145
5.0,46,0.0,-128.10000000000002,0.5147745366701145
5.0,45,0.0,-128.10000000000002,0.5147745366701145
10.0,42,0.0,-128.10000000000002,0.5147745366701145
10.0,44,0.0,-128.10000000000002,0.5147745366701145
10.0,43,0.0,-128.10000000000002,0.5147745366701145
10.0,45,0.0,-128.10000000000002,0.5147745366701145
10.0,46,0.0,-128.10000000000002,0.5147745366701145
